iter	Passed	Remaining
619	1753	1074
620	1755	1071
621	1758	1068
622	1760	1065
623	1766	1064
624	1768	1061
625	1770	1057
626	1772	1054
627	1774	1051
628	1777	1048
629	1780	1045
630	1782	1042
631	1784	1039
632	1786	1035
633	1789	1032
634	1793	1031
635	1796	1028
636	1798	1025
637	1801	1022
638	1803	1019
639	1806	1016
640	1809	1013
641	1811	1010
642	1813	1006
643	1815	1003
644	1818	1000
645	1820	997
646	1823	994
647	1826	992
648	1828	989
649	1831	985
650	1834	983
651	1837	980
652	1840	977
653	1842	974
654	1844	971
655	1846	968
656	1848	965
657	1852	962
658	1854	959
659	1856	956
660	1858	953
661	1860	950
662	1863	946
663	1866	944
664	1870	942
665	1873	939
666	1875	936
667	1877	933
668	1880	930
669	1884	928
670	1891	927
671	1895	925
672	1899	922
673	1902	920
674	1904	917
675	1907	914
676	1912	912
677	1914	909
678	1917	906
679	1919	903
680	1921	900
681	1925	897
682	1928	894
683	1930	891
684	1932	888
685	1934	885
686	1936	882
687	1938	879
688	1942	876
689	1944	873
690	1946	870
691	1948	867
692	1950	864
693	1953	861
694	1956	858
695	1958	855
696	1960	852
697	1962	849
698	1964	846
699	1966	842
700	1970	840
701	1973	837
702	1975	834
703	1977	831
704	1979	828
705	1981	825
706	1985	822
707	1987	819
708	1989	816
709	1991	813
710	1993	810
711	1996	807
712	1998	804
713	2000	801
714	2002	798
715	2005	795
716	2007	792
717	2009	789
718	2013	787
719	2016	784
720	2018	781
721	2021	778
722	2023	775
723	2026	772
724	2029	769
725	2031	766
726	2033	763
727	2035	760
728	2037	757
729	2039	754
730	2043	752
731	2045	749
732	2047	745
733	2049	742
734	2053	740
735	2058	738
736	2060	735
737	2063	732
738	2067	730
739	2074	728
740	2076	725
741	2080	723
742	2083	720
743	2086	717
744	2089	715
745	2092	712
746	2094	709
747	2097	706
748	2100	703
749	2103	701
750	2106	698
751	2108	695
752	2110	692
753	2113	689
754	2117	687
755	2119	684
756	2121	681
757	2124	678
758	2126	675
759	2128	672
760	2132	669
761	2134	666
762	2137	663
763	2139	660
764	2141	657
765	2143	654
766	2147	652
767	2149	649
768	2151	646
769	2153	643
770	2155	640
771	2157	637
772	2161	634
773	2163	631
774	2165	628
775	2167	625
776	2169	622
777	2171	619
778	2174	616
779	2177	614
780	2179	611
781	2181	608
782	2183	605
783	2185	602
784	2187	599
785	2191	596
786	2194	593
787	2196	590
788	2198	588
789	2201	585
790	2205	582
791	2207	579
792	2209	576
793	2211	573
794	2213	570
795	2216	567
796	2218	565
797	2221	562
798	2223	559
799	2225	556
800	2227	553
801	2231	550
802	2236	548
803	2239	545
804	2242	543
805	2245	540
806	2251	538
807	2254	535
808	2257	533
809	2260	530
810	2265	527
811	2268	525
812	2271	522
813	2275	519
814	2278	517
815	2281	514
816	2283	511
817	2285	508
818	2288	505
819	2292	503
820	2294	500
821	2296	497
822	2299	494
823	2301	491
824	2303	488
825	2307	486
826	2309	483
827	2312	480
828	2314	477
829	2316	474
830	2318	471
831	2321	468
832	2323	465
833	2325	462
834	2327	460
835	2329	457
836	2332	454
837	2336	451
838	2338	448
839	2340	445
840	2342	442
841	2344	440
842	2347	437
843	2350	434
844	2352	431
845	2355	428
846	2357	425
847	2359	422
848	2361	420
849	2365	417
850	2368	414
851	2370	411
852	2372	408
853	2374	405
854	2376	403
855	2380	400
856	2383	397
857	2385	394
858	2388	392
859	2390	389
860	2393	386
861	2396	383
862	2398	380
863	2400	377
864	2402	374
865	2406	372
866	2411	369
867	2413	367
868	2415	364
869	2417	361
870	2420	358
871	2422	355
872	2425	352
873	2427	349
874	2429	347
875	2431	344
876	2434	341
877	2440	339
878	2443	336
879	2446	333
